epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,788.166,1.58025,1.34181,0.02909,0.75048,0.73012,0.78804,0.48145,1.39988,1.05379,0.04911,0.00999776,0.00333259,0.00999776,0.00333259,0.00999776,0.00333259,0.00999776,0.00333259
2,1449.35,1.58003,1.13787,0.02843,0.7448,0.75227,0.78583,0.49693,1.31975,1.02376,0.04537,0.0199962,0.00666542,0.0199962,0.00666542,0.0199962,0.00666542,0.0199962,0.00666542
3,2116.58,1.67948,1.26901,0.03061,0.67361,0.65192,0.67483,0.37556,1.54281,1.46322,0.05453,0.0299887,0.00999624,0.0299887,0.00999624,0.0299887,0.00999624,0.0299887,0.00999624
4,2779.43,1.71446,1.355,0.03127,0.738,0.69247,0.72303,0.40855,1.54999,1.20987,0.05368,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
5,3442.1,1.65394,1.30479,0.02936,0.74634,0.66308,0.73211,0.43035,1.43815,1.11022,0.04885,0.0299638,0.00998794,0.0299638,0.00998794,0.0299638,0.00998794,0.0299638,0.00998794
6,4110.36,1.6315,1.23508,0.02861,0.76959,0.74968,0.76826,0.4731,1.37762,1.01816,0.0471,0.0299435,0.00998116,0.0299435,0.00998116,0.0299435,0.00998116,0.0299435,0.00998116
7,4780.33,1.59673,1.16992,0.02794,0.79221,0.71399,0.76178,0.47048,1.30416,1.02747,0.04327,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
8,5448.1,1.58099,1.13724,0.02736,0.81799,0.75888,0.81765,0.51721,1.27933,0.87885,0.04215,0.0298893,0.0099631,0.0298893,0.0099631,0.0298893,0.0099631,0.0298893,0.0099631
9,6120.55,1.55332,1.09889,0.02668,0.84606,0.78791,0.83003,0.53501,1.24845,0.78563,0.0406,0.0298555,0.00995183,0.0298555,0.00995183,0.0298555,0.00995183,0.0298555,0.00995183
10,6784.58,1.51752,1.05521,0.0256,0.85723,0.74054,0.811,0.50691,1.35173,0.91384,0.04446,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
11,7454.57,1.49985,1.06936,0.02501,0.8113,0.79096,0.82756,0.55494,1.17161,0.79089,0.03743,0.0297744,0.0099248,0.0297744,0.0099248,0.0297744,0.0099248,0.0297744,0.0099248
12,8121.57,1.48993,1.03939,0.02488,0.82761,0.76557,0.81922,0.55602,1.19324,0.7551,0.03901,0.0297272,0.00990905,0.0297272,0.00990905,0.0297272,0.00990905,0.0297272,0.00990905
13,8787.7,1.47791,1.00871,0.02502,0.8489,0.74169,0.83626,0.58243,1.12414,0.78881,0.03607,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
14,9454.53,1.45255,0.99843,0.02418,0.84825,0.77283,0.83755,0.56714,1.16544,0.76774,0.03814,0.0296194,0.00987313,0.0296194,0.00987313,0.0296194,0.00987313,0.0296194,0.00987313
15,10122.1,1.44441,0.98316,0.02374,0.83349,0.79948,0.85236,0.56933,1.18636,0.75159,0.03863,0.0295589,0.00985296,0.0295589,0.00985296,0.0295589,0.00985296,0.0295589,0.00985296
16,10786.8,1.43352,0.96751,0.02362,0.84404,0.79772,0.85512,0.5708,1.17334,0.6981,0.03785,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
17,11450.3,1.41987,0.96232,0.02355,0.82476,0.82547,0.85459,0.60609,1.08752,0.68971,0.03454,0.0294247,0.00980825,0.0294247,0.00980825,0.0294247,0.00980825,0.0294247,0.00980825
18,12118.2,1.41823,0.94146,0.02316,0.86195,0.80385,0.8669,0.59151,1.14195,0.67954,0.03697,0.0293511,0.00978371,0.0293511,0.00978371,0.0293511,0.00978371,0.0293511,0.00978371
19,12786.3,1.41374,0.93551,0.02317,0.83184,0.81312,0.85821,0.60325,1.0851,0.70162,0.03462,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
20,13458,1.40833,0.9387,0.02299,0.81718,0.78689,0.85257,0.59117,1.11897,0.73873,0.03609,0.029191,0.00973032,0.029191,0.00973032,0.029191,0.00973032,0.029191,0.00973032
21,14125.9,1.40823,0.91477,0.02295,0.85395,0.80595,0.85642,0.58433,1.1303,0.69153,0.03636,0.0291044,0.00970148,0.0291044,0.00970148,0.0291044,0.00970148,0.0291044,0.00970148
22,14790.2,1.39336,0.89553,0.0226,0.86356,0.81663,0.87296,0.60192,1.12544,0.61679,0.036,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
23,15456.9,1.39018,0.90812,0.02245,0.86714,0.79674,0.85844,0.59824,1.05832,0.66047,0.03333,0.0289187,0.00963956,0.0289187,0.00963956,0.0289187,0.00963956,0.0289187,0.00963956
24,16122.6,1.38331,0.89815,0.02239,0.86835,0.78654,0.86953,0.63177,0.99226,0.65038,0.03144,0.0288195,0.0096065,0.0288195,0.0096065,0.0288195,0.0096065,0.0288195,0.0096065
25,16790.8,1.36212,0.89209,0.02213,0.88512,0.79829,0.8698,0.61115,1.1006,0.63207,0.03576,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
26,17455.3,1.37549,0.89306,0.02213,0.8691,0.81372,0.8714,0.60975,1.1033,0.6443,0.03556,0.0286087,0.00953622,0.0286087,0.00953622,0.0286087,0.00953622,0.0286087,0.00953622
27,18121.5,1.36878,0.86787,0.02236,0.87067,0.8271,0.887,0.62836,1.04328,0.64768,0.03344,0.0284971,0.00949903,0.0284971,0.00949903,0.0284971,0.00949903,0.0284971,0.00949903
28,18792.7,1.35435,0.86989,0.02208,0.84506,0.82363,0.87175,0.62403,1.04314,0.63118,0.03305,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
29,19459.9,1.3524,0.85479,0.02206,0.85316,0.85931,0.87919,0.63953,1.00697,0.61528,0.03132,0.0282618,0.00942059,0.0282618,0.00942059,0.0282618,0.00942059,0.0282618,0.00942059
30,20125.1,1.35158,0.84676,0.02194,0.85905,0.83108,0.88655,0.64368,0.98963,0.58874,0.03033,0.0281381,0.00937937,0.0281381,0.00937937,0.0281381,0.00937937,0.0281381,0.00937937
31,20791.8,1.34929,0.84669,0.02185,0.83494,0.85398,0.89032,0.65006,1.02648,0.60072,0.03211,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
32,21457.3,1.35099,0.83098,0.02184,0.85291,0.83982,0.88764,0.65821,0.9703,0.55691,0.03037,0.0278789,0.00929298,0.0278789,0.00929298,0.0278789,0.00929298,0.0278789,0.00929298
33,22121.8,1.34669,0.84533,0.0219,0.83634,0.82248,0.87927,0.66086,0.9344,0.55987,0.02923,0.0277435,0.00924784,0.0277435,0.00924784,0.0277435,0.00924784,0.0277435,0.00924784
34,22791.1,1.33853,0.84267,0.02146,0.86579,0.84611,0.88443,0.65152,0.97528,0.54706,0.03068,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
35,23454.7,1.33528,0.82112,0.02134,0.88249,0.8546,0.89157,0.67206,0.92532,0.52411,0.02838,0.0274612,0.00915374,0.0274612,0.00915374,0.0274612,0.00915374,0.0274612,0.00915374
36,24118.5,1.33683,0.82759,0.02138,0.83935,0.86154,0.89077,0.66501,0.92897,0.54629,0.02874,0.0273144,0.0091048,0.0273144,0.0091048,0.0273144,0.0091048,0.0273144,0.0091048
37,24783.9,1.31869,0.82596,0.02126,0.88439,0.80745,0.88928,0.65367,0.97567,0.57293,0.03026,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
38,25454.9,1.30948,0.80385,0.02064,0.89164,0.83546,0.89738,0.67179,0.91446,0.53982,0.02846,0.0270097,0.00900325,0.0270097,0.00900325,0.0270097,0.00900325,0.0270097,0.00900325
39,26121.2,1.31717,0.81379,0.02116,0.838,0.86042,0.89374,0.65675,0.98849,0.542,0.03181,0.026852,0.00895065,0.026852,0.00895065,0.026852,0.00895065,0.026852,0.00895065
